#{"t_start": 1777920783.1025982, "env_id": "highway-v0"}
r,l,t
142.948223,200,206.743864
152.612951,200,212.730678
69.184996,100,215.665658
149.343575,200,221.762292
143.857446,200,227.734696
156.675816,200,233.643506
148.836031,200,239.652513
155.82936,200,245.652483
147.667097,200,251.717459
148.809797,200,257.667563
146.390241,200,473.577324
146.176855,200,479.490867
146.470729,200,485.580242
144.617009,200,491.662951
142.400587,200,497.837714
143.749269,200,503.771122
147.450779,200,509.760448
101.998243,142,513.98806
148.927898,200,520.041209
145.785989,200,526.130378
135.422872,200,742.510281
145.896185,200,748.482817
150.145191,200,754.577211
137.288033,200,760.649056
135.873443,200,766.627244
146.752251,200,772.702431
149.277183,200,778.653756
146.497718,200,784.746804
148.468453,200,790.850956
145.417881,200,796.893499
21.7396,29,1006.887199
16.6717,20,1007.495154
13.051837,18,1008.029131
156.541569,200,1013.95424
151.918665,200,1019.826459
148.006455,200,1025.826749
150.779736,200,1031.762551
142.737039,200,1037.792387
75.044486,100,1040.786356
155.490834,200,1046.80757
151.527361,200,1266.038046
79.275716,105,1269.323349
154.398162,200,1275.323706
30.871293,35,1276.384915
150.944478,200,1282.48788
62.124887,84,1285.066535
158.988546,200,1291.170871
151.579496,200,1297.179437
161.956892,200,1303.154951
26.755118,31,1304.082722
154.543679,200,1521.534938
151.005314,200,1527.41578
24.280321,27,1528.222088
155.014123,200,1534.269605
20.220594,24,1534.981456
158.539419,200,1540.992599
22.152899,25,1541.736974
153.525083,200,1547.805415
17.350311,20,1548.401152
40.357263,47,1549.788891
151.708443,200,1764.924807
152.977595,200,1770.749483
73.56405,97,1773.677115
154.2226,200,1779.721661
142.661471,200,1785.673302
153.598003,200,1791.725269
148.721113,200,1797.632773
153.244677,200,1803.660315
153.092931,200,1809.581138
152.177839,200,1815.634505
150.603918,200,2030.011919
148.785054,200,2036.017283
156.016436,200,2042.064981
22.233016,27,2042.878298
63.915312,82,2045.351791
149.382832,200,2051.465575
151.206095,200,2057.357883
122.707965,164,2062.356733
150.448988,200,2068.254414
147.761477,200,2074.311897
151.966901,200,2289.027334
153.071903,200,2294.989861
150.322663,197,2300.923058
138.857756,200,2307.163427
152.01232,200,2313.219817
152.291476,200,2319.281586
103.427041,137,2323.681637
86.747028,113,2327.074116
154.368289,200,2333.233242
150.147041,200,2339.346339
149.500715,200,2560.238175
73.922652,93,2563.097909
149.700619,200,2569.29397
64.080641,86,2571.904834
20.140418,23,2572.608083
150.790367,200,2578.737024
152.854402,200,2584.813946
153.536799,200,2590.702675
33.627215,41,2591.973255
155.953322,200,2597.972692
150.111433,200,2814.59122
151.230361,200,2820.715287
152.563345,200,2826.836438
151.021943,200,2833.003893
153.544512,200,2838.961375
150.822628,200,2845.277482
115.733411,156,2849.936999
149.287649,200,2856.161937
148.944553,200,2862.152059
153.829191,200,2868.463792
153.260225,200,3083.587841
151.901628,200,3089.60041
25.153528,33,3090.63677
157.881653,200,3096.6067
19.212449,22,3097.275357
152.402817,200,3103.490779
149.803891,200,3109.556184
45.458673,52,3111.100581
148.053393,200,3117.060884
158.31649,200,3123.111232
145.120429,200,3338.101998
146.534016,200,3343.877294
151.824989,200,3350.009562
150.567406,200,3355.973486
157.948373,200,3361.998815
149.577294,200,3368.112186
145.75037,200,3374.008327
146.008972,200,3380.024591
148.436019,200,3385.833908
160.477233,200,3391.826425
151.096557,200,3605.746562
153.578666,200,3611.741383
148.731136,200,3617.7199
150.648207,200,3623.744944
147.018368,191,3629.462207
149.100919,200,3635.273783
157.602431,200,3641.157631
121.548243,162,3646.039477
156.980905,200,3651.984188
154.544745,200,3657.9602
151.196176,200,3870.716973
152.086718,200,3876.780947
121.047792,148,3881.365317
155.195654,200,3887.385474
150.381998,200,3893.210794
39.591032,53,3894.756586
157.245692,200,3900.787195
148.61856,200,3906.811444
155.22468,200,3912.738287
153.509489,200,3918.8083
19.769724,23,4127.507751
52.181424,62,4129.354589
18.467487,20,4129.94448
151.69635,200,4136.127203
153.182702,200,4142.038817
151.045815,200,4148.059677
15.9071,18,4148.589362
162.493833,200,4154.472925
159.543436,200,4160.371312
155.889636,200,4166.319564
162.203941,200,4380.086964
157.589847,200,4385.997872
101.245355,128,4389.812543
26.203389,30,4390.738773
23.387171,26,4391.504348
158.16624,200,4397.571549
155.6437,200,4403.67906
153.929844,200,4409.736899
151.956183,200,4415.746451
155.421185,200,4421.861986
152.229032,200,4640.621676
162.063082,200,4646.764239
162.588518,200,4652.987783
152.626821,200,4658.982517
151.465862,200,4665.145606
135.277608,163,4670.220803
150.89699,200,4676.24812
153.332004,200,4682.453444
157.222734,200,4688.664171
46.483332,56,4690.402291
150.298262,200,4909.32865
165.006874,200,4915.329307
159.619002,200,4921.264521
161.235173,200,4927.346529
86.579362,109,4930.565665
153.125603,200,4936.608584
156.625629,200,4942.66286
152.501531,200,4948.807332
151.196047,200,4954.668541
19.648468,24,4955.387544
14.855064,17,5163.674711
150.112759,168,5168.793758
154.948552,200,5174.962631
24.725637,31,5175.897972
154.061597,200,5181.88636
37.033286,41,5183.119744
160.635186,200,5189.26753
120.180309,145,5193.641032
160.206589,200,5199.666932
153.03302,200,5205.567245
