algo,seed,step,ep_reward,ep_length,collision,success
SAC,0,8,,,0.0,0.0
SAC,0,13,,,0.0,0.0
SAC,0,14,,,0.0,0.0
SAC,0,20,,,0.0,0.0
SAC,0,26,,,0.0,0.0
SAC,0,27,,,0.0,0.0
SAC,0,30,,,0.0,0.0
SAC,0,37,,,0.0,0.0
SAC,0,43,,,0.0,0.0
SAC,0,47,,,0.0,0.0
SAC,0,48,,,0.0,0.0
SAC,0,52,,,0.0,0.0
SAC,0,54,,,0.0,0.0
SAC,0,60,,,0.0,0.0
SAC,0,65,,,0.0,0.0
SAC,0,75,,,0.0,0.0
SAC,0,81,,,0.0,0.0
SAC,0,84,,,0.0,0.0
SAC,0,86,,,0.0,0.0
SAC,0,87,,,0.0,0.0
SAC,0,89,,,0.0,0.0
SAC,0,92,,,0.0,0.0
SAC,0,103,,,0.0,0.0
SAC,0,104,,,0.0,0.0
SAC,0,106,,,0.0,0.0
SAC,0,115,,,0.0,0.0
SAC,0,121,,,0.0,0.0
SAC,0,127,,,0.0,0.0
SAC,0,133,,,0.0,0.0
SAC,0,136,,,0.0,0.0
SAC,0,138,,,0.0,0.0
SAC,0,143,,,0.0,0.0
SAC,0,148,,,0.0,0.0
SAC,0,149,,,0.0,0.0
SAC,0,152,,,0.0,0.0
SAC,0,157,,,0.0,0.0
SAC,0,158,,,0.0,0.0
SAC,0,166,,,0.0,0.0
SAC,0,179,,,0.0,0.0
SAC,0,182,,,0.0,0.0
SAC,0,183,,,0.0,0.0
SAC,0,186,,,0.0,0.0
SAC,0,188,,,0.0,0.0
SAC,0,190,,,0.0,0.0
SAC,0,194,,,0.0,0.0
SAC,0,197,,,0.0,0.0
SAC,0,198,,,0.0,0.0
SAC,0,200,,,0.0,0.0
SAC,0,205,,,0.0,0.0
SAC,0,209,,,0.0,0.0
SAC,0,214,,,0.0,0.0
SAC,0,218,,,0.0,0.0
SAC,0,231,,,1.0,0.0
SAC,0,239,,,0.0,0.0
SAC,0,246,,,0.0,0.0
SAC,0,251,,,0.0,0.0
SAC,0,256,,,0.0,0.0
SAC,0,259,,,0.0,0.0
SAC,0,263,,,0.0,0.0
SAC,0,269,,,0.0,0.0
SAC,0,284,,,0.0,0.0
SAC,0,285,,,0.0,0.0
SAC,0,288,,,0.0,0.0
SAC,0,292,,,0.0,0.0
SAC,0,300,,,0.0,0.0
SAC,0,302,,,0.0,0.0
SAC,0,308,,,0.0,0.0
SAC,0,310,,,0.0,0.0
SAC,0,320,,,0.0,0.0
SAC,0,325,,,0.0,0.0
SAC,0,331,,,0.0,0.0
SAC,0,336,,,0.0,0.0
SAC,0,337,,,0.0,0.0
SAC,0,338,,,0.0,0.0
SAC,0,340,,,0.0,0.0
SAC,0,346,,,0.0,0.0
SAC,0,354,,,0.0,0.0
SAC,0,359,,,0.0,0.0
SAC,0,360,,,0.0,0.0
SAC,0,369,,,0.0,0.0
SAC,0,377,,,0.0,0.0
SAC,0,381,,,0.0,0.0
SAC,0,385,,,0.0,0.0
SAC,0,387,,,0.0,0.0
SAC,0,390,,,0.0,0.0
SAC,0,391,,,0.0,0.0
SAC,0,393,,,0.0,0.0
SAC,0,398,,,0.0,0.0
SAC,0,402,,,0.0,0.0
SAC,0,404,,,0.0,0.0
SAC,0,408,,,0.0,0.0
SAC,0,412,,,0.0,0.0
SAC,0,414,,,0.0,0.0
SAC,0,422,,,0.0,0.0
SAC,0,425,,,0.0,0.0
SAC,0,428,,,0.0,0.0
SAC,0,430,,,0.0,0.0
SAC,0,437,,,0.0,0.0
SAC,0,442,,,0.0,0.0
SAC,0,445,,,0.0,0.0
SAC,0,446,,,0.0,0.0
SAC,0,454,,,0.0,0.0
SAC,0,460,,,0.0,0.0
SAC,0,465,,,0.0,0.0
SAC,0,467,,,0.0,0.0
SAC,0,470,,,0.0,0.0
SAC,0,476,,,0.0,0.0
SAC,0,481,,,0.0,0.0
SAC,0,486,,,0.0,0.0
SAC,0,491,,,0.0,0.0
SAC,0,492,,,0.0,0.0
SAC,0,506,,,0.0,0.0
SAC,0,520,,,0.0,0.0
SAC,0,523,,,0.0,0.0
SAC,0,529,,,0.0,0.0
SAC,0,535,,,0.0,0.0
SAC,0,547,,,0.0,0.0
SAC,0,553,,,0.0,0.0
SAC,0,557,,,0.0,0.0
SAC,0,567,,,0.0,0.0
SAC,0,570,,,0.0,0.0
SAC,0,20,,5.0,,
SAC,0,20,3.088209,,,
SAC,0,20,,,,
SAC,0,37,,4.625,,
SAC,0,37,2.8005226,,,
SAC,0,37,,,,
SAC,0,52,,4.3333335,,
SAC,0,52,2.5248926,,,
SAC,0,52,,,,
SAC,0,75,,4.6875,,
SAC,0,75,2.8434908,,,
SAC,0,75,,,,
SAC,0,87,,4.35,,
SAC,0,87,2.5809453,,,
SAC,0,87,,,,
SAC,0,104,,4.3333335,,
SAC,0,104,2.5804205,,,
SAC,0,104,,,,
SAC,0,127,,4.535714,,
SAC,0,127,2.7247355,,,
SAC,0,127,,,,
SAC,0,143,,4.46875,,
SAC,0,143,2.6626813,,,
SAC,0,143,,,,
SAC,0,157,,4.361111,,
SAC,0,157,2.572091,,,
SAC,0,157,,,,
SAC,0,182,,4.55,,
SAC,0,182,2.7212343,,,
SAC,0,182,,,,
SAC,0,190,,4.318182,,
SAC,0,190,2.5413222,,,
SAC,0,190,,,,
SAC,0,200,,4.1666665,,
SAC,0,200,2.4206476,,,
SAC,0,200,,,,
SAC,0,218,,4.1923075,,
SAC,0,218,2.4385839,,,
SAC,0,218,,,,
SAC,0,251,,4.482143,,
SAC,0,251,2.669039,,,
SAC,0,251,,,,
SAC,0,269,,4.483333,,
SAC,0,269,2.6709292,,,
SAC,0,269,,,,
SAC,0,292,,4.5625,,
SAC,0,292,2.7405941,,,
SAC,0,292,,,,
SAC,0,310,,4.5588236,,
SAC,0,310,2.7380772,,,
SAC,0,310,,,,
SAC,0,336,,4.6666665,,
SAC,0,336,2.8237197,,,
SAC,0,336,,,,
SAC,0,346,,4.5526314,,
SAC,0,346,2.7333593,,,
SAC,0,346,,,,
SAC,0,369,,4.6125,,
SAC,0,369,2.7851138,,,
SAC,0,369,,,,
SAC,0,387,,4.607143,,
SAC,0,387,2.7800202,,,
SAC,0,387,,,,
SAC,0,398,,4.5227275,,
SAC,0,398,2.7124763,,,
SAC,0,398,,,,
SAC,0,412,,4.478261,,
SAC,0,412,2.6743882,,,
SAC,0,412,,,,
SAC,0,428,,4.4583335,,
SAC,0,428,2.6590676,,,
SAC,0,428,,,,
SAC,0,445,,4.45,,
SAC,0,445,2.652504,,,
SAC,0,445,,,,
SAC,0,465,,4.45,,
SAC,0,465,2.6490977,,,
SAC,0,465,,,,
SAC,0,481,,4.44,,
SAC,0,481,2.638534,,,
SAC,0,481,,,,
SAC,0,506,,4.54,,
SAC,0,506,2.7169962,,,
SAC,0,506,,,,
SAC,0,535,,4.6,,
SAC,0,535,2.7572668,,,
SAC,0,535,,,,
SAC,0,567,,4.8,,
SAC,0,567,2.9030025,,,
SAC,0,567,,,,
SAC,0,580,,,0.0,0.0
SAC,0,585,,,0.0,0.0
